Word,Meaning
Irascible,easily made angry
Irate,tremendously angry
Ire,hostility triggered by a grievance or insult
Iridescent,exhibiting a wide range of brilliant colors like a rainbow
Irk,annoy; irritate
Irked,annoyed; irritated
Irksome,irritatingly bothersome
Iron Curtain,an unstoppable blockade
Ironclad,coated or wrapped in iron usually for protection
Ironically,referring to something being unexpected or ironic
Irony,a form of humor in which you use words to express the opposite of what the words really mean
Irrational,devoid of reason
Irreconcilable,incapable of being brought into harmony or adjustment.
Irreducible,not able to be reduced or lessened
Irrefragable,not able to be disputed or contested
Irrefragable,not able to be disputed or disproved
Irrefutable,that which cannot be proven false
Irregardless,no matter what the circumstance or situation
Irregular,unusual or odd
Irrelevant,not pertaining to or insignificant
Irremediable,"unable to be remedied, cured, corrected or repaired"
Irreparable,not capable of being fixed
 Irrepressible ,not controllable
Irreproachable,without fault
Irresistible,to attractive and tempting to be resisted
Irresolute,not certain about something
Irrespective,"without regard for conditions, circumstances, or consequences; regardless of"
Irresponsible,describes someone that does not show a sense of responsibility or obligation
Irretrievable,unable to recover or reverse back to what it was
Irreverent,"displaying little respect to a person, thing, or idea "
Irreversible,not able to be altered or undone; unchangeable
Irrevocable,"not able to be changed, reversed, or recovered; final"
Irrigate,to provide water
Irrigation,a process of providing water by artificial means
Irritable,getting annoyed or angry
Irritate,to cause or induce displeasure or inflammation on any portion of body
Irritation,feeling bother or annoyed by something that is time consuming or particularly frustrating
Irrupt,to enter or burst in suddenly
Isle,island
Isolation,the condition of being located away from others
Isolationism,a rule of seclusion followed by a group or nation that chooses not to interact with other sects or countries
Isotonic,having equal tension
Isotope,any of an element’s forms that differ because of the atom’s neutron count
Issue,to deliver or give out
Isthmus,"a narrow strip of land, bordered on both sides by water, and connecting two larger landmasses"
Itemize,to break something down into the individual parts that comprise it
Iterate,said or done again and again; repeated
Iterate,to verbalize or say
Iteration,the process of repeating a statement or sequence of some sort
Itinerant,moving around from location to location
Itinerary,a detailed schedule usually for a trip
Its,related to something that was mentioned previously 
Jabber,"to talk rapidly, indistinctly, or unintelligibly; to utter gibberish or nonsense"
Jackanapes,"a conceited, sarcastic, and/or brutish individual"
Jaded,"depleted of excitement and enthusiasm, usually after having had too much of something"
Jagged,sharp; pointed
Jape,a silly plan done on a person; practical joke
Jape,a practical joke or trick that you play on someone
Jargon,communication that a person cannot comprehend
Jarring,to be altered or changed usually in an irritating or unbearable way
Jaundiced,"tending to dislike, criticize, or resent something"
Jaunt,a short journey or excursion for pleasure or refreshment
Jauntily,in an energetic way
Jaunty,expressing cheer and self-assurance
Jawbone,the skull area below the mouth
Jealous,"feeling resentment against someone because of that person's rivalry, success, or advantages"
Jeer,"ridicule, taunt, scoff at"
Jejune,unsophisticated
Jeopardize,to put at risk
Jeopardy,at risk of loss or harm
Jeremiad,"a long, sad list of complaints, sometimes produced as a literary work"
Jest,words that are spoken as humor 
Jettison,to eliminate something
Jibe,to agree; harmonize
Jingoism,extreme patriotism for one’s country that often shows itself through aggression towards other nations
Jinx,a person or thing supposed to bring bad luck
